Platform type,Base,Year,Qtr,Rfh/t Dist,Rfh/t P1,Rfh/t P2,Rtac/fh Dist,Rtac/fh P1,Rtac/fh P2,Reot/fh Dist,Reot/fh P1,Reot/fh P2,Rwow/fh Dist,Rwow/fh P1,Rwow/fh P2
100101005,10001,2020,2,Constant,27.456043956043956,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10001,2020,3,Constant,30.727272727272727,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10001,2020,4,Constant,35.27272727272727,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10002,2020,1,Constant,36.599268014639705,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10002,2020,2,Constant,18.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10002,2020,3,Constant,41.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10002,2020,4,Constant,20.99973750328121,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10003,2020,1,Constant,25.81,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10003,2020,2,Constant,27.456043956043956,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10003,2020,3,Constant,30.727272727272727,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10003,2020,4,Constant,35.27272727272727,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10004,2020,1,Constant,25.81,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10004,2020,2,Constant,27.456043956043956,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10004,2020,3,Constant,30.727272727272727,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10004,2020,4,Constant,35.27272727272727,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10001,2020,1,Constant,34.55411570953043,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10001,2020,2,Constant,32.139225181598064,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10001,2020,3,Constant,43.43822297328177,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10001,2020,4,Constant,41.81272509003601,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10002,2020,1,Constant,57.14792756896308,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10002,2020,2,Constant,54.891304347826086,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10002,2020,3,Constant,72.04321729727863,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10002,2020,4,Constant,74.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10003,2020,1,Constant,34.55411570953043,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10003,2020,2,Constant,32.139225181598064,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10003,2020,3,Constant,43.43822297328177,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10003,2020,4,Constant,41.81272509003601,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10004,2020,1,Constant,34.55411570953043,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10004,2020,2,Constant,32.139225181598064,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10004,2020,3,Constant,43.43822297328177,0,Constant,1,0,Constant,1,0,Constant,1,0
100101006,10004,2020,4,Constant,41.81272509003601,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10001,2020,1,Constant,44.24480527093736,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10001,2020,2,Constant,36.798534798534796,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10001,2020,3,Constant,53.046691749745804,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10001,2020,4,Constant,51.822864228503306,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10002,2020,1,Constant,98.44554455445545,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10002,2020,2,Constant,82.85148514851485,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10002,2020,3,Constant,100.9009900990099,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10002,2020,4,Constant,95.12871287128714,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10003,2020,1,Constant,44.24480527093736,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10003,2020,2,Constant,36.798534798534796,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10003,2020,3,Constant,53.046691749745804,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10003,2020,4,Constant,51.822864228503306,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10004,2020,1,Constant,44.24480527093736,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10004,2020,2,Constant,36.798534798534796,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10004,2020,3,Constant,53.046691749745804,0,Constant,1,0,Constant,1,0,Constant,1,0
100101007,10004,2020,4,Constant,51.822864228503306,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10001,2020,1,Constant,44.847457627118644,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10001,2020,2,Constant,38.58317746040426,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10001,2020,3,Constant,57.93112947658402,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10001,2020,4,Constant,51.04731456839653,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10002,2020,1,Constant,61.24074074074074,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10002,2020,2,Constant,60.54716981132076,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10002,2020,3,Constant,68.67441860465117,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10002,2020,4,Constant,59.857142857142854,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10003,2020,1,Constant,44.847457627118644,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10003,2020,2,Constant,38.58317746040426,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10003,2020,3,Constant,57.93112947658402,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10003,2020,4,Constant,51.04731456839653,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10004,2020,1,Constant,44.847457627118644,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10004,2020,2,Constant,38.58317746040426,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10004,2020,3,Constant,57.93112947658402,0,Constant,1,0,Constant,1,0,Constant,1,0
